"datetime","Freq","Code","x_hat","y_hat","UTM_E","UTM_N"
"2028-05-25 15:47:50",150.779,31,18.1222658523845,40.3352601930109,765229.215727897,4469648.95528647
"2028-05-25 15:48:00",150.779,29,18.1223200991208,40.3352787147839,765233.752003579,4469651.17436767
"2028-05-25 15:48:05",150.779,31,18.1223303269813,40.3352822069407,765234.60728784,4469651.59276096
"2028-05-25 15:48:10",150.779,29,18.1222798143402,40.3352649601212,765230.383268979,4469649.52643048
"2028-05-25 15:48:10",150.779,41,18.122270346552,40.3352617274802,765229.591543832,4469649.1391301
"2028-05-25 15:48:15",150.779,31,18.1222710170951,40.3352619564275,765229.647616687,4469649.16656011
"2028-05-25 15:48:20",150.779,29,18.1223224182136,40.335279506605,765233.945933058,4469651.26923529
"2028-05-25 15:48:20",150.779,41,18.122317507453,40.3352778298959,765233.53528056,4469651.06834978
"2028-05-25 15:48:25",150.779,31,18.1223161802311,40.335277376735,765233.42429429,4469651.01405684
"2028-05-25 15:48:30",150.779,29,18.122266286952,40.3352603413878,765229.252067756,4469648.97306339
"2028-05-25 15:48:35",150.779,41,18.122275461525,40.3352634739146,765230.019273389,4469649.34836914
"2028-05-25 15:48:35",150.779,31,18.1222661961614,40.3352603103886,765229.244475565,4469648.96934941
"2028-05-25 15:48:45",150.779,29,18.1223049447533,40.3352735405416,765232.48474992,4469650.55444489
"2028-05-25 15:48:45",150.779,41,18.1223170534163,40.3352776748716,765233.497312655,4469651.0497764
"2028-05-25 15:48:50",150.779,31,18.1223157954575,40.3352772453595,765233.392118366,4469650.99831682
"2028-05-25 15:48:55",150.779,29,18.1222661323014,40.3352602885845,765229.239135401,4469648.96673708
"2028-05-25 15:48:55",150.779,41,18.1222701550294,40.3352616620875,765229.575528132,4469649.13129545
"2028-05-25 15:49:00",150.779,31,18.1222672918467,40.3352606844947,765229.336100098,4469649.01417078
"2028-05-25 15:49:05",150.779,29,18.1223027101992,40.3352727775851,765232.297889792,4469650.46303555
"2028-05-25 15:49:10",150.779,41,18.1223181484107,40.3352780487418,765233.588879361,4469651.09456957
"2028-05-25 15:49:10",150.779,31,18.1223109072293,40.3352755763439,765232.983350075,4469650.79835308
"2028-05-25 15:49:15",150.779,29,18.1222706075942,40.3352618166093,765229.613372972,4469649.14980859
"2028-05-25 15:49:20",150.779,41,18.122267741797,40.3352608381238,765229.373726311,4469649.03257697
"2028-05-25 15:49:20",150.779,31,18.1222715627397,40.3352621427301,765229.693245138,4469649.18888088
"2028-05-25 15:49:30",150.779,29,18.1223087154923,40.3352748280066,765232.800070442,4469650.70869525
"2028-05-25 15:49:30",150.779,41,18.1223090582146,40.3352749450242,765232.828729912,4469650.72271506
"2028-05-25 15:49:35",150.779,31,18.1223025243766,40.3352727141386,765232.282350749,4469650.45543407
"2028-05-25 15:49:40",150.779,29,18.1222671098487,40.335260622354,765229.320880874,4469649.00672576
"2028-05-25 15:49:40",150.779,41,18.1222691886452,40.3352613321294,765229.494716151,4469649.09176342
"2028-05-25 15:49:45",150.779,31,18.1222691815282,40.3352613296994,765229.49412101,4469649.09147228
"2028-05-25 15:49:50",150.779,29,18.1223063327781,40.3352740144629,765232.600820729,4469650.61122509
"2028-05-25 15:49:55",150.779,41,18.1223157646147,40.3352772348287,765233.389539202,4469650.99705513
"2028-05-25 15:49:55",150.779,31,18.1223165992474,40.3352775198021,765233.459333688,4469651.03119762
"2028-05-25 15:50:05",150.779,29,18.1222773694401,40.335264125345,765230.178819035,4469649.42641654
"2028-05-25 15:50:05",150.779,41,18.1222786938612,40.3352645775496,765230.289571139,4469649.48059486
